Date,Open,High,Low,Close,Adj Close,Volume,,,
2/19/2021,5.54,5.77,5.51,5.7,5.7,40249100,-0.85,,
2/22/2021,5.93,6.68,5.75,6.55,6.55,173409000,-1.15,,
2/23/2021,6.97,7.86,6.01,7.7,7.7,264876400,-1.39,,
2/24/2021,7.23,9.83,6.99,9.09,9.09,376881800,0.8,,
2/25/2021,10.89,11,7.85,8.29,8.29,445717400,0.28,,
2/26/2021,8.19,9.01,7.63,8.01,8.01,137028000,-1.17,,
3/1/2021,8.86,9.45,8.42,9.18,9.18,143586500,0.25,,
3/2/2021,9.14,9.4,8.51,8.93,8.93,78135400,0.35,,
3/3/2021,8.95,9.14,8.5,8.58,8.58,55651900,0.55,,
3/4/2021,8.25,8.59,7.5,8.03,8.03,77822600,-0.02,,
3/5/2021,8.08,8.27,7.63,8.05,8.05,59734100,-1.24,,
3/8/2021,8.53,9.48,8.31,9.29,9.29,114343800,-1.21,,
3/9/2021,9.38,10.77,9.22,10.5,10.5,150415600,0.65,,
3/10/2021,11.02,12.47,9.51,9.85,9.85,261918600,-0.43,,
3/11/2021,10.65,10.87,9.9,10.28,10.28,83933600,-0.88,,
3/12/2021,10.16,11.4,9.94,11.16,11.16,111146700,-2.88,,
3/15/2021,12.18,14.49,11.85,14.04,14.04,277713300,1.02,,
3/16/2021,13.62,13.62,12.34,13.02,13.02,125967600,-0.54,,
3/17/2021,13.24,13.66,13,13.56,13.56,78053600,-0.44,,
3/18/2021,14.34,14.54,13.57,14,14,121418000,0.07,,
3/19/2021,14.14,14.18,13.28,13.93,13.93,153206000,1.44,,
3/22/2021,13.15,13.19,11.76,12.49,12.49,88760100,1.83,,
3/23/2021,11.46,11.93,10.37,10.66,10.66,87923200,1.64,,
3/24/2021,10.82,11.21,8.93,9.02,9.02,81850700,-1.92,,
3/25/2021,8.96,11.32,8.95,10.94,10.94,131192800,0.7,,
3/26/2021,11.27,11.53,10.01,10.24,10.24,84633100,-0.11,,
3/29/2021,10.32,10.76,10.09,10.35,10.35,37330700,0,,
3/30/2021,10.31,10.52,9.76,10.35,10.35,39020500,0.14,,
3/31/2021,10.4,10.47,10.05,10.21,10.21,29832300,0.85,,
4/1/2021,10.23,10.26,9.15,9.36,9.36,77473900,-1.25,,
4/5/2021,10.1,11.25,9.72,10.61,10.61,96082300,0.41,,
4/6/2021,10.4,10.5,10,10.2,10.2,44067000,0.35,,
4/7/2021,10.07,10.18,9.85,9.85,9.85,28804300,0.06,,
4/8/2021,10.01,10.01,9.5,9.79,9.79,33408700,0.37,,
4/9/2021,9.6,9.74,9.24,9.42,9.42,29254600,0.8,,
4/12/2021,9.44,9.49,8.51,8.62,8.62,51269800,-0.22,,
4/13/2021,8.66,9.12,8.31,8.84,8.84,44049100,-0.51,,
